linearization_wx	id	sentence_wx	sentence	linearization
(hE_1:TAM(0_hE_1):rh(xqRti_1:attr_gen(f):attr_num(sg):attr_per(a):r6(Ora_1:ccof(kRewraPala_1:attr_gen(m):attr_num(sg):attr_per(a)):ccof(uwpAxana_1:attr_gen(m):attr_num(sg):attr_per(a)))):k1(KAxyAnna_1+Pasala_1:r6(xeSa_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(jvAra_1:attr_gen(f):attr_num(sg):attr_per(a))):ord(wIsarA_1):mod(mahawwvapUrNa_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0088	kRewraPala Ora uwpAxana kI xqRti se jvAra xeSa kI wIsarI mahawwvapUrNa KAxyAnna Pasala hE.	क्षेत्रफल और उत्पादन की दृष्टि से ज्वार देश की तीसरी महत्त्वपूर्ण खाद्यान्न फसल है.	(है_1:TAM(0_है_1):rh(दृष्टि_1:attr_gen(f):attr_num(sg):attr_per(a):r6(और_1:ccof(क्षेत्रफल_1:attr_gen(m):attr_num(sg):attr_per(a)):ccof(उत्पादन_1:attr_gen(m):attr_num(sg):attr_per(a)))):k1(खाद्यान्न_1+फसल_1:r6(देश_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(ज्वार_1:attr_gen(f):attr_num(sg):attr_per(a))):ord(तीसरा_1):mod(महत्त्वपूर्ण_1)):CLAUSE_TYPE(affirmative))
(nirBara+ho_1:TAM(wA_hE_1):k1(Pasala_1:attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(yaha)):k7(varRA_1:attr_ne(per):attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0089	yaha Pasala varRA para nirBara howI hE.	यह फसल वर्षा पर निर्भर होती है.	(निर्भर+हो_1:TAM(ता_है_1):k1(फसल_1:attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(यह)):k7(वर्षा_1:attr_ne(per):attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(AvaSyakawA+ho:TAM(wA_hE_1):rh(ugA_1-yA_1-yA_1:k7p(kRewra_1:attr_gen(m):attr_num(pl):attr_per(a):mod(aXikawara_1:mod(Axrra_1)))):rt(yaha:attr_gen(-):attr_num(sg):attr_per(a)):r6(siMcAI_1:attr_gen(f):attr_num(sg):attr_per(a)):neg(nahIM_1):CLAUSE_TYPE(negative))	Hin_Geo_ncert_10stnd_4ch_0090	aXikawara Axrra kRewroM meM ugAe jAne ke kAraNa isake lie siMcAI kI AvaSyakawA nahIM howI hE.	अधिकतर आद्र्र क्षेत्रों में उगाए जाने के कारण इसके लिए सिंचाई की आवश्यकता नहीं होती है.	(आवश्यकता+हो:TAM(ता_है_1):rh(उगा_1-या_1-या_1:k7p(क्षेत्र_1:attr_gen(m):attr_num(pl):attr_per(a):mod(अधिकतर_1:mod(आद्र्र_1)))):rt(यह:attr_gen(-):attr_num(sg):attr_per(a)):r6(सिंचाई_1:attr_gen(f):attr_num(sg):attr_per(a)):neg(नहीं_1):CLAUSE_TYPE(negative))
(hE_1:TAM(0_hE_1):attr_gen(m):attr_num(sg):attr_per(a):k1(uwpAxaka_1+rAjya_1:r6(yaha:attr_gen(-):attr_num(sg):attr_per(a)):mod(pramuKa_1:attr_gen(m):attr_num(sg):attr_per(a))):k7p(Ora_1:attr_gen(m):attr_num(sg):attr_per(a):ccof(praxeSa:attr_gen(m):attr_num(sg):attr_per(a)):ccof(praxeSa:attr_gen(m):attr_num(sg):attr_per(a):nmod(karnAtaka:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(mahArARtra:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):pof__cn(AMXra_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(maXya_1))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0091	isake pramuKa uwpAxaka rAjya mahArARtra, karnAtaka, AMXra praxeSa Ora maXya praxeSa hEM.	इसके प्रमुख उत्पादक राज्य महाराष्ट्र, कर्नाटक, आंध्र प्रदेश और मध्य प्रदेश हैं.	(है_1:TAM(0_है_1):attr_gen(m):attr_num(sg):attr_per(a):k1(उत्पादक_1+राज्य_1:r6(यह:attr_gen(-):attr_num(sg):attr_per(a)):mod(प्रमुख_1:attr_gen(m):attr_num(sg):attr_per(a))):k7p(और_1:attr_gen(m):attr_num(sg):attr_per(a):ccof(प्रदेश:attr_gen(m):attr_num(sg):attr_per(a)):ccof(प्रदेश:attr_gen(m):attr_num(sg):attr_per(a):nmod(कर्नाटक:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(महाराष्ट्र:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):pof__cn(आंध्र_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(मध्य_1))):CLAUSE_TYPE(affirmative))
(ugA_1:TAM(wA_hE_1):k2(bAjarA_1:attr_gen(m):attr_num(sg):attr_per(a)):k2(Ora_1:ccof(baluA_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(yaha)):ccof(mittI_1:attr_gen(f):attr_num(sg):attr_per(a):mod(uWalA_1:mod(kAlI_1:attr_gen(f):attr_num(sg):attr_per(a))))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0092	bAjarA yaha baluA Ora uWalI kAlI mittI para ugAyA jAwA hE.	बाजरा यह बलुआ और उथली काली मिट्टी पर उगाया जाता है.	(उगा_1:TAM(ता_है_1):k2(बाजरा_1:attr_gen(m):attr_num(sg):attr_per(a)):k2(और_1:ccof(बलुआ_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(यह)):ccof(मिट्टी_1:attr_gen(f):attr_num(sg):attr_per(a):mod(उथला_1:mod(काली_1:attr_gen(f):attr_num(sg):attr_per(a))))):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):k1(rAjasWAna:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k1(mahArARtra:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(praxeSa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a):pof__cn(uwwara_1:attr_gen(m):attr_num(sg):attr_per(a)))):k7p(Ora_1:ccof(gujarAwa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):ccof(hariyANA:attr_gen(m):attr_num(sg):attr_per(a))):k1s(uwpAxaka_1+rAjya_1:r6(yaha:attr_gen(-):attr_num(sg):attr_per(a)):mod(muKya_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0093	rAjasWAna, uwwara praxeSa, mahArARtra, gujarAwa Ora hariyANA isake muKya uwpAxaka rAjya hEM.	राजस्थान, उत्तर प्रदेश, महाराष्ट्र, गुजरात और हरियाणा इसके मुख्य उत्पादक राज्य हैं.	(है_1:TAM(0_है_1):k1(राजस्थान:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k1(महाराष्ट्र:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(प्रदेश:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a):pof__cn(उत्तर_1:attr_gen(m):attr_num(sg):attr_per(a)))):k7p(और_1:ccof(गुजरात:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):ccof(हरियाणा:attr_gen(m):attr_num(sg):attr_per(a))):k1s(उत्पादक_1+राज्य_1:r6(यह:attr_gen(-):attr_num(sg):attr_per(a)):mod(मुख्य_1)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):attr_gen(m):attr_num(sg):attr_per(a):k1(uwpAxaka_1+rAjya_1:r6(rAgI:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):mod(pramuKa_1)):k7p(Ora_1:attr_gen(m):attr_num(sg):attr_per(a):ccof(praxeSa:attr_gen(m):attr_num(sg):attr_per(a)):ccof(JAraKaMda:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(uwwarAKaMda_1:attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(sikkima_1)):ccof(praxeSa:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(karnAtaka:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(himAcala_1:attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(aruNAcala_1))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0095	rAgI ke pramuKa uwpAxaka rAjya karnAtaka, himAcala praxeSa, uwwarAKaNda, sikkima, JAraKaMda Ora aruNAcala praxeSa hE.	रागी के प्रमुख उत्पादक राज्य कर्नाटक, हिमाचल प्रदेश, उत्तराखण्ड, सिक्किम, झारखंड और अरुणाचल प्रदेश है.	(है_1:TAM(0_है_1):attr_gen(m):attr_num(sg):attr_per(a):k1(उत्पादक_1+राज्य_1:r6(रागी:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):mod(प्रमुख_1)):k7p(और_1:attr_gen(m):attr_num(sg):attr_per(a):ccof(प्रदेश:attr_gen(m):attr_num(sg):attr_per(a)):ccof(झारखंड:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(उत्तराखंड_1:attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(सिक्किम_1)):ccof(प्रदेश:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(कर्नाटक:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(हिमाचल_1:attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(अरुणाचल_1))):CLAUSE_TYPE(affirmative))
(ugA_1:TAM(wA_hE_1):k7p(rAjya_1:attr_gen(m):attr_num(pl):attr_per(a):nmod(bihAra:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):nmod__adj(kuCa_1)):k7(qwu_1:attr_gen(f):attr_num(sg):attr_per(a):r6(rabI:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(makkA_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):lwg__rp(BI_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0098	bihAra jEse kuCa rAjyoM meM makkA rabI kI qwu meM BI ugAI jAwI hE.	बिहार जैसे कुछ राज्यों में मक्का रबी की ऋतु में भी उगाई जाती है.	(उगा_1:TAM(ता_है_1):k7p(राज्य_1:attr_gen(m):attr_num(pl):attr_per(a):nmod(बिहार:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):nmod__adj(कुछ_1)):k7(ऋतु_1:attr_gen(f):attr_num(sg):attr_per(a):r6(रबी:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(मक्का_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):lwg__rp(भी_1)):CLAUSE_TYPE(affirmative))
(baDZA_1:TAM(0_hE_1):k1(bIja_1:attr_gen(m):attr_num(pl):attr_per(a):nmod(xe_1-yA_1-yA_1:k2(pExAvAra_1:attr_ne(loc):attr_gen(f):attr_num(sg):attr_per(a):nmod(prOxyogika_1+niveSa_1:mod(AXunika_1:attr_ne(loc))):mod(ucca_1)))):k3(upayoga_1:attr_gen(m):attr_num(sg):attr_per(a):r6(Ora_1:ccof(urvaraka_1:attr_gen(m):attr_num(pl):attr_per(a)):ccof(siMcAI_1:attr_gen(f):attr_num(sg):attr_per(a)))):k2(uwpAxana_1:attr_gen(m):attr_num(sg):attr_per(a):r6(makkA:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0099	AXunika prOxyogika niveSoM jEse ucca pExAvAra xene vAle bIjoM, urvarakoM Ora siMcAI ke upayoga se makkA kA uwpAxana baDZA hE.	आधुनिक प्रौद्योगिक निवेशों जैसे उच्च पैदावार देने वाले बीजों, उर्वरकों और सिंचाई के उपयोग से मक्का का उत्पादन बढ़ा है.	(बढ़ा_1:TAM(0_है_1):k1(बीज_1:attr_gen(m):attr_num(pl):attr_per(a):nmod(दे_1-या_1-या_1:k2(पैदावार_1:attr_ne(loc):attr_gen(f):attr_num(sg):attr_per(a):nmod(प्रौद्योगिक_1+निवेश_1:mod(आधुनिक_1:attr_ne(loc))):mod(उच्च_1)))):k3(उपयोग_1:attr_gen(m):attr_num(sg):attr_per(a):r6(और_1:ccof(उर्वरक_1:attr_gen(m):attr_num(pl):attr_per(a)):ccof(सिंचाई_1:attr_gen(f):attr_num(sg):attr_per(a)))):k2(उत्पादन_1:attr_gen(m):attr_num(sg):attr_per(a):r6(मक्का:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):k1(karnAtaka:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k7p(Ora_1:attr_gen(m):attr_num(sg):attr_per(a):ccof(praxeSa:attr_gen(m):attr_num(sg):attr_per(a)):ccof(praxeSa:attr_gen(m):attr_num(sg):attr_per(a)):ccof(praxeSa:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(maXya_1:attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(uwwara_1:attr_gen(m):attr_num(sg):attr_per(a)):nmod__adj(bihAra:attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(AMXra_1:attr_gen(m):attr_num(sg):attr_per(a))):ccof(welaMgAnA:attr_gen(m):attr_num(sg):attr_per(a))):k1s(uwpAxaka_1:attr_gen(m):attr_num(sg):attr_per(a):r6(makkA:attr_gen(m):attr_num(sg):attr_per(a)):mod(muKya_1:attr_gen(m):attr_num(sg):attr_per(a))):k1s(rAjya_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0100	karnAtaka, maXya praxeSa uwwara praxeSa, bihAra, AMXra praxeSa Ora welaMgAnA makkA ke muKya uwpAxaka rAjya hEM.	कर्नाटक, मध्य प्रदेश उत्तर प्रदेश, बिहार, आंध्र प्रदेश और तेलंगाना मक्का के मुख्य उत्पादक राज्य हैं.	(है_1:TAM(0_है_1):k1(कर्नाटक:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k7p(और_1:attr_gen(m):attr_num(sg):attr_per(a):ccof(प्रदेश:attr_gen(m):attr_num(sg):attr_per(a)):ccof(प्रदेश:attr_gen(m):attr_num(sg):attr_per(a)):ccof(प्रदेश:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(मध्य_1:attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(उत्तर_1:attr_gen(m):attr_num(sg):attr_per(a)):nmod__adj(बिहार:attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(आंध्र_1:attr_gen(m):attr_num(sg):attr_per(a))):ccof(तेलंगाना:attr_gen(m):attr_num(sg):attr_per(a))):k1s(उत्पादक_1:attr_gen(m):attr_num(sg):attr_per(a):r6(मक्का:attr_gen(m):attr_num(sg):attr_per(a)):mod(मुख्य_1:attr_gen(m):attr_num(sg):attr_per(a))):k1s(राज्य_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):k1(BArawa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k7(viSva:attr_gen(m):attr_num(sg):attr_per(a)):k1(waWA_1:ccof(uwpAxaka_1:attr_gen(m):attr_num(sg):attr_per(a):r6(xAla_1:attr_gen(f):attr_num(pl):attr_per(a)):r6(xAla_1:attr_gen(f):attr_num(pl):attr_per(a)):mod(badZA_1:jjmod__intf(sabasA_1))):ccof(upaBokwA_1:attr_gen(m):attr_num(sg):attr_per(a))):k1s(xeSa_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0101	xAleM BArawa viSva meM xAloM kA sabase badZA uwpAxaka waWA upaBokwA xeSa hE.	दालें भारत विश्व में दालों का सबसे बड़ा उत्पादक तथा उपभोक्ता देश है.	(है_1:TAM(0_है_1):k1(भारत:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k7(विश्व:attr_gen(m):attr_num(sg):attr_per(a)):k1(तथा_1:ccof(उत्पादक_1:attr_gen(m):attr_num(sg):attr_per(a):r6(दाल_1:attr_gen(f):attr_num(pl):attr_per(a)):r6(दाल_1:attr_gen(f):attr_num(pl):attr_per(a)):mod(बड़ा_1:jjmod__intf(सबसा_1))):ccof(उपभोक्ता_1:attr_gen(m):attr_num(sg):attr_per(a))):k1s(देश_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(xAyaka+ho:TAM(wA_hE_1):k7(SAkAhArI+KA-yA_1):k1(xAla_1:attr_gen(f):attr_num(pl):attr_per(a)):k1(protIna_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(aXika_1:jjmod__intf(sabasA_1))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0102	SAkAhArI KAne meM xAleM sabase aXika protIna xAyaka howI hEM.	शाकाहारी खाने में दालें सबसे अधिक प्रोटीन दायक होती हैं.	(दायक+हो:TAM(ता_है_1):k7(शाकाहारी+खा-या_1):k1(दाल_1:attr_gen(f):attr_num(pl):attr_per(a)):k1(प्रोटीन_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(अधिक_1:jjmod__intf(सबसा_1))):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):k1(wura_1:attr_ne(per)):k1(masUra_1:attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(mUzga_1:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(arahara_1:attr_gen(f):attr_num(sg):attr_per(a)):pof__cn(udZaxa_1:attr_gen(f):attr_num(sg):attr_per(a)))):k1(Ora_1:ccof(matara_1:attr_gen(f):attr_num(sg):attr_per(a)):ccof(canA_1:attr_gen(m):attr_num(sg):attr_per(a))):k1s(Pasale_1:r6(BArawa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):mod(muKya_1:mod(xalahanI_1:attr_gen(m):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0103	wura (arahara), udZaxa, mUzga, masUra, matara Ora canA BArawa kI muKya xalahanI Pasale hEM.	तुर (अरहर), उड़द, मूँग, मसूर, मटर और चना भारत की मुख्य दलहनी फसले हैं.	(है_1:TAM(0_है_1):k1(तुर_1:attr_ne(per)):k1(मसूर_1:attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(मूँग_1:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(अरहर_1:attr_gen(f):attr_num(sg):attr_per(a)):pof__cn(उड़द_1:attr_gen(f):attr_num(sg):attr_per(a)))):k1(और_1:ccof(मटर_1:attr_gen(f):attr_num(sg):attr_per(a)):ccof(चना_1:attr_gen(m):attr_num(sg):attr_per(a))):k1s(फसले_1:r6(भारत:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):mod(मुख्य_1:mod(दलहनी_1:attr_gen(m):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))
(raKa_1:TAM(wA_hE_1):rh(ho_1-yA_1-yA_1:k1(Pasala_1:attr_gen(f):attr_num(pl):attr_per(a):mod(PalIxAra_1))):vmod(CodZa_1:k2(arahara:attr_gen(f):attr_num(sg):attr_per(a))):k2(xAla_1:attr_gen(f):attr_num(pl):attr_per(a):mod(anya_1):nmod__adj(saba_1)):k1s(banA_1-yA_1-yA_1:vmod(le_1:k5(vAyu_1:attr_gen(f):attr_num(sg):attr_per(a)):k2(nAitrojana_1:attr_gen(m):attr_num(sg):attr_per(a))):k2(urvarawA_1:attr_gen(f):attr_num(sg):attr_per(a):r6(BUmi_1:attr_gen(f):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0106	PalIxAra PasaleM hone ke nAwe arahara ko CodZakara anya saBI xAleM vAyu se nAitrojana lekara BUmi kI urvarawA ko banAe raKawI hEM.	फलीदार फसलें होने के नाते अरहर को छोड़कर अन्य सभी दालें वायु से नाइट्रोजन लेकर भूमि की उर्वरता को बनाए रखती हैं.	(रख_1:TAM(ता_है_1):rh(हो_1-या_1-या_1:k1(फसल_1:attr_gen(f):attr_num(pl):attr_per(a):mod(फलीदार_1))):vmod(छोड़_1:k2(अरहर:attr_gen(f):attr_num(sg):attr_per(a))):k2(दाल_1:attr_gen(f):attr_num(pl):attr_per(a):mod(अन्य_1):nmod__adj(सब_1)):k1s(बना_1-या_1-या_1:vmod(ले_1:k5(वायु_1:attr_gen(f):attr_num(sg):attr_per(a)):k2(नाइट्रोजन_1:attr_gen(m):attr_num(sg):attr_per(a))):k2(उर्वरता_1:attr_gen(f):attr_num(sg):attr_per(a):r6(भूमि_1:attr_gen(f):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))
(awaH_1:attr_ne(per):ccof(bo_1-wA_hE_1-wA_hE_1:attr_gen(m):attr_num(sg):attr_per(a):k7(AmawOra_1:attr_gen(f):attr_num(pl):attr_per(a)):k7(rotating:attr_gen(f):attr_num(pl):attr_per(a):r6(Pasala_1:attr_gen(f):attr_num(pl):attr_per(a)):r6(Pasala_1:nmod__adj(yaha):mod(anya_1)):pof__cn(Avarwana_1:attr_gen(f):attr_num(pl):attr_per(a)))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0107	awaH ina PasaloM ko AmawOra para anya PasaloM ke Avarwana (rotating) meM boyA jAwA hE.	अतः इन फसलों को आमतौर पर अन्य फसलों के आवर्तन (रोटटिन्ग्) में बोया जाता है.	(अतः_1:attr_ne(per):ccof(बो_1-ता_है_1-ता_है_1:attr_gen(m):attr_num(sg):attr_per(a):k7(आमतौर_1:attr_gen(f):attr_num(pl):attr_per(a)):k7(रोटटिन्ग्:attr_gen(f):attr_num(pl):attr_per(a):r6(फसल_1:attr_gen(f):attr_num(pl):attr_per(a)):r6(फसल_1:nmod__adj(यह):mod(अन्य_1)):pof__cn(आवर्तन_1:attr_gen(f):attr_num(pl):attr_per(a)))):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):attr_gen(m):attr_num(sg):attr_per(a):k7p(BArawa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k7p(Ora_1:attr_gen(m):attr_num(sg):attr_per(a):ccof(praxeSa:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):ccof(praxeSa:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a):pof__cn(maXya_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):nmod(mahArARtra:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(rAjasWAna_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):pof__cn(uwwara_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):ccof(karnAtaka:attr_gen(m):attr_num(sg):attr_per(a))):k1s(uwpAxaka_1:attr_gen(f):attr_num(sg):attr_per(a):r6(xAla_1):mod(muKya_1:attr_gen(m):attr_num(sg):attr_per(a))):k1s(rAjya_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0108	BArawa meM maXya praxeSa, rAjasWAna, mahArARtra, uwwara praxeSa, Ora karnAtaka xAla ke muKya uwpAxaka rAjya hEM.	भारत में मध्य प्रदेश, राजस्थान, महाराष्ट्र, उत्तर प्रदेश, और कर्नाटक दाल के मुख्य उत्पादक राज्य हैं.	(है_1:TAM(0_है_1):attr_gen(m):attr_num(sg):attr_per(a):k7p(भारत:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k7p(और_1:attr_gen(m):attr_num(sg):attr_per(a):ccof(प्रदेश:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):ccof(प्रदेश:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a):pof__cn(मध्य_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):nmod(महाराष्ट्र:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(राजस्थान_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):pof__cn(उत्तर_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):ccof(कर्नाटक:attr_gen(m):attr_num(sg):attr_per(a))):k1s(उत्पादक_1:attr_gen(f):attr_num(sg):attr_per(a):r6(दाल_1):mod(मुख्य_1:attr_gen(m):attr_num(sg):attr_per(a))):k1s(राज्य_1):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):k1(gannA_1):k1(gannA_1:attr_gen(m):attr_num(sg):attr_per(a)):k1s(katibaMXIya_1+Pasala_1:card(eka_1):nmod(Ora_1:mod(uRNa_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(upoRNa_1))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0110	gannA: gannA eka uRNa Ora upoRNa katibaMXIya Pasala hE.	गन्ना: गन्ना एक उष्ण और उपोष्ण कटिबंधीय फसल है.	(है_1:TAM(0_है_1):k1(गन्ना_1):k1(गन्ना_1:attr_gen(m):attr_num(sg):attr_per(a)):k1s(कटिबंधीय_1+फसल_1:card(एक_1):nmod(और_1:mod(उष्ण_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(उपोष्ण_1))):CLAUSE_TYPE(affirmative))
(AvaSyakawA+ho:TAM(wA_hE_1):k7(praxeSa_1:attr_gen(m):attr_num(pl):attr_per(a):nmod(varRA_1:attr_ne(per):attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(kama_1))):r6(siMcAI_1:attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0112	kama varRA vAle praxeSoM meM siMcAI kI AvaSyakawA howI hE.	कम वर्षा वाले प्रदेशों में सिंचाई की आवश्यकता होती है.	(आवश्यकता+हो:TAM(ता_है_1):k7(प्रदेश_1:attr_gen(m):attr_num(pl):attr_per(a):nmod(वर्षा_1:attr_ne(per):attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(कम_1))):r6(सिंचाई_1:attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):k7t(brAjIla:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k1(BArawa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k1s(xeSa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(gannA_1:attr_gen(m):attr_num(pl):attr_per(a)):ord(xUsarA_1):mod(badZA_1:jjmod__intf(sabasA_1):mod(uwpAxaka_1:attr_gen(m):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_10stnd_4ch_0114	brAjIla ke bAxa BArawa ganne kA xUsarA sabase badZA uwpAxaka xeSa hE.	ब्राजील के बाद भारत गन्ने का दूसरा सबसे बड़ा उत्पादक देश है.	(है_1:TAM(0_है_1):k7t(ब्राजील:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k1(भारत:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k1s(देश_1:attr_gen(m):attr_num(sg):attr_per(a):r6(गन्ना_1:attr_gen(m):attr_num(pl):attr_per(a)):ord(दूसरा_1):mod(बड़ा_1:jjmod__intf(सबसा_1):mod(उत्पादक_1:attr_gen(m):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))
