	hin	eng	hin_id	eng_id	hin_gloss	eng_gloss	hin_ex	eng_ex
1227	भविष्य_2	future_6	26700	6330401	व्याकरण में वह काल जो वर्तमान समय से आगे की क्रियाओं या अवस्थाओं को बताता है	['a verb tense that expresses actions or states in the future']	"""आज गुरुजी ने भविष्य काल के बारे में विस्तार से बताया ।"""	[]
1228	भविष्यवक्ता_1	prophet_5	5669	10483530	भविष्य की बात बतानेवाला	['an authoritative person who divines the future']	"""उस भविष्यवक्ता की भविष्यवाणी सही साबित हुई ।"""	[]
1229	भविष्यवक्ता_2	astrologer_2	5681	9817816	ज्योतिषशास्त्र, विशेषतः फलित ज्योतिष का ज्ञाता	['someone who predicts the future by the positions of the planets and sun and moon']	"""वह एक कुशल ज्योतिषी है ।"""	[]
1230	भविष्यवाणी_2	prediction_2	5664	6748969	आगे चलकर होने वाली वह बात जो पहले से ही किसी ने कह दी हो	['a statement made about the future']	"""उस महात्मा की भविष्यवाणी सत्य साबित हुई ।"""	[]
1231	भवितव्यता_1	destiny_16	10347	7330007	अवश्य होने या होकर रहनेवाली बात या घटना	['an event (or a course of events) that will inevitably happen in the future']	"""होनी को कोई नहीं टाल सकता ।"""	[]
1232	भावुक_2	emotional_3	4529	85630	जिसके मन में भावों का विशेषकर कोमल भावों का सहज में प्रभाव पड़ता हो	['(of persons) excessively affected by emotion']	"""भावुक राम मेरी कहानी सुनकर रो पड़ा ।"""	['he would become emotional over nothing at all', 'she was worked up about all the noise']
1233	भव्यता_1	grandness_1	25592	4814238	भव्य होने की अवस्था, गुण या भाव	['the quality of being magnificent or splendid or grand']	"""उस राजमहल की भव्यता सबको आकर्षित करती थी ।"""	"[""for magnificence and personal service there is the Queen' s hotel"", ""his `Hamlet'  lacks the brilliance that one expects"", 'it is the university that gives the scene its stately splendor', 'an imaginative mix of old-fashioned grandeur and colorful art', 'advertisers capitalize on the grandness and elegance it brings to their products']"
1234	बात_6	talk_5	34477	7223985	कोई ऐसी घटना या कार्य जिसकी लोगों में विशेष चर्चा हो	['idle gossip or rumor']	"""बात फैलते देर नहीं लगती है ।"""	['there has been talk about you lately']
1235	बात-चीत_1	conversation_9	3566	7133701	आपस में बात करने या बोलने की क्रिया	['the use of speech for informal exchange of views or ideas or information etc.']	"""वे लोग देश की आर्थिक स्थिति पर बातचीत कर रहे थे । / आजकल मेरी उससे बोल-चाल बंद है । / अनर्गल प्रलाप से बचना चाहिए ।"""	[]
1236	बतख़_1	duck_1	26880	7646578	बत्तक का मांस	['flesh of a duck (domestic or wild)']	"""मनोहर मुर्गा नहीं बत्तख खा रहा है ।"""	[]
1237	बतख़_1	duck_1	3472	1846331	हंस की जाति का एक छोटा और मोटा जलपक्षी जिसका रंग सफेद, पंजे झिल्लीदार और चोंच का अग्र भाग चपटा होता है	['small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs']	"""बतख के पंख हरसाल झड़ते हैं ।"""	[]
1238	बतंगड़_1	fuss_3	2617	555138	किसी साधारण सी बात को दिया हुआ बहुत बड़ा या झगड़े-बखेड़े का रूप	['a rapid active commotion']	"""आपने बात का बतंगड़ बना कर हम लोगों में झगड़ा करवा दिया ।"""	[]
1239	भत्ता_1	allowance_3	7905	13286254	वह दैनिक या मासिक व्यय जो किसी कर्मचारी को यात्रा आदि के समय या कोई अतिरिक्त कार्य करने के लिए मिलता है	['an amount allowed or granted (as during a given period)']	"""आपको कितना आवास भत्ता मिलता है ।"""	"['travel allowance', 'my weekly allowance of two eggs', ""a child' s allowance should not be too generous""]"
1240	बत्ती_1	wick_2	1257	4582044	कपड़े की वह धज्जी जो घाव में मवाद सोखने के लिए रखी जाती है	['any piece of cord that conveys liquid by capillary action']	"""चिकित्सक उसके घाव में बत्ती डाल रहा है ।"""	['the physician put a wick in the wound to drain it']
1241	बत्ती_1	wick_2	7116	4581829	रूई या सूत का बटा हुआ लम्बा लच्छा जो दीपक में रखकर जलाते हैं	['a loosely woven cord (in a candle or oil lamp) that draws fuel by capillary action up into the flame']	"""माँ दिये की बाती को उकसा रही है ।"""	[]
1242	बत्ती_3	taper_1	9866	2948072	मोम की बनी बत्ती जो प्रकाश के लिए जलाई जाती है	['stick of wax with a wick in the middle']	"""मेरी हर रविवार को चर्च में मोमबत्ती जलाती है ।"""	[]
1243	बत्ती_4	light_9	23116	3665366	बिजली से प्रकाशित होने वाला उपकरण	['any device serving as a source of illumination']	"""कृपया अनुपस्थिति में बत्ती बुझाकर ही कमरा बंद करें ।"""	['he stopped the car and turned off the lights']
1244	बत्तीस_1	thirty-two_1	9589	2189491		['being two more than thirty']		[]
1245	बद_1	bad_4	4634	1125429	अच्छा का उल्टा या विपरीत	['having undesirable or negative qualities']	"""बुरे लोगों की संगति अच्छी नहीं होती। / हमें बुरे काम नहीं करने चाहिए। / वहाँ एकदम बकवास खाना मिलता है ।"""	['a bad report card', 'his sloppy appearance made a bad impression', 'a bad little boy', 'clothes in bad shape', 'a bad cut', 'bad luck', 'the news was very bad', 'the reviews were bad', 'the pay is bad', 'it was a bad light for reading', 'the movie was a bad choice']
1246	बदबू_1	stink_2	6200	5714894	बुरी गंध या महक	['a distinctive odor that is offensively unpleasant']	"""प्रतिदिन न नहाने के कारण उसके शरीर से दुर्गंध आ रही है ।"""	[]
1247	बदबूदार_2	smelly_1	36386	1053634	जिसके शरीर से पसीने की बदबू आती हो	['offensively malodorous']	"""बदबूदार आदमी के पास ना बैठें ।"""	['a foul odor', 'the kitchen smelled really funky']
1248	बदचलनी_1	depravity_5	11	4850996	दुश्चरित्र होने की अवस्था या भाव	['moral perversion', ' impairment of virtue and moral principles']	"""दुश्चरित्रता से बचना चाहिए ।"""	['the luxury and corruption among the upper classes', 'moral degeneracy followed intellectual degeneration', 'its brothels, its opium parlors, its depravity', 'Rome had fallen into moral putrefaction']
1249	बाधक_1	obstructive_1	2574	1764351	अवरोध उत्पन्न करने वाला या रोकनेवाला	['preventing movement']	"""अशिक्षा राष्ट्र के विकास में अवरोधक है ।"""	['the clogging crowds of revelers overflowing into the street']
1250	बदला_1	revenge_5	3780	1235258	किसी के कुछ अनिष्ट करने पर उसके साथ किया जानेवाला वैसा ही व्यवहार	['action taken in return for an injury or offense']	"""उसकी प्रतिशोध की योजना असफल रही ।"""	[]
1251	बदला_5	exchange_5	2669	1109467	वस्तुओं आदि के लेन-देन की प्रक्रिया	['the act of giving something in return for something received']	"""आपसी विनिमय से जीवन निर्वाह करने की प्रणाली प्राचीन काल से चली आ रही है ।"""	['deductible losses on sales or exchanges of property are allowable']
1252	बदला_7	lieu_1	37540	721431	किसी के पद पर या उसका काम करने की क्रिया या भाव या बदलने की क्रिया या भाव	['the post or function properly or customarily occupied or served by another']	"""मधु के स्थान पर सुषमा को रखा गया है ।"""	['can you go in my stead?', 'took his place', 'in lieu of']
1253	बदलाव_1	change_8	27629	4752034	* वह अंतर या बदलाव जो आमतौर पर आनन्ददायक हो	['a difference that is usually pleasant']	"""वह बदलाव के लिए साल में एक बार कुछ दिनों के लिए पहाड़ी क्षेत्रों में निवास करता है ।"""	['he goes to France for variety', 'it is a refreshing change to meet a woman mechanic']
1254	बदलाव_1	change_8	2913	7296428	बदलने की क्रिया या भाव	['an event that occurs when something passes from one state or phase to another']	"""परिवर्तन संसार का नियम है ।"""	['the change was intended to increase sales', 'this storm is certainly a change for the worse', 'the neighborhood had undergone few modifications since his last visit years ago']
1255	बादाम_1	almond_1	7171	7750586	एक फल का बीज जो मेवों में गिना जाता है	['oval-shaped edible seed of the almond tree']	"""वह बादाम खा रहा है ।"""	[]
1256	बादाम_1	almond_1	7239	12645174	एक वृक्ष जिसके फल मेवों में गिने जाते हैं	['small bushy deciduous tree native to Asia and North Africa having pretty pink blossoms and highly prized edible nuts enclosed in a hard green hull', ' cultivated in southern Australia and California']	"""उसने अपने बाग में बादाम लगा रखा है ।"""	[]
1257	बदमाश_3	mischievous_7	6358	1128406	जो बहुत शरारती हो	['badly behaved']	"""नटखट बच्चे लोगों को बहुत परेशान करते हैं ।"""	['he was saucy and mischievous in school', 'a naughty boy']
1258	बदमाशी_4	hooliganism_2	19468	1249816	व्यर्थ में किसी से लड़ने-झगड़ने या मारपीट करने की क्रिया	['willful wanton and malicious destruction of the property of others']	"""आजकल बड़े-बड़े विद्यालयों में भी गुंदागर्दी बढ़ती जा रही है ।"""	[]
1259	बदमाशी_5	mischievousness_3	20284	736375	शरारत या नटखट भरा काम	['reckless or malicious behavior that causes discomfort or annoyance in others']	"""तुम आजकल बहुत शरारत करते हो । / तुम्हारी शरारत से मैं परेशान हूँ ।"""	[]
1260	बदनाम_4	ill-famed_1	3660	1984411	जिसे लोग बुरा कहते हों या जिसे कुख्याति मिली हो	['having an exceedingly bad reputation']	"""वीरप्पन एक कुख्यात अपराधी है। / वह अपने कारनामों के कारण समाज में बदनाम है ।"""	['a notorious gangster', 'the tenderloin district was notorious for vice']
1261	बादशाह_1	king_9	14505	3618219	बादशाह के चित्र वाला ताश का एक पत्ता	['one of the four playing cards in a deck bearing the picture of a king']	"""उसने रंग के दुक्के से बादशाह को काटा ।"""	[]
1262	बादशाह_1	king_9	14507	3618101	शतरंज का एक मोहरा	['(chess) the weakest but the most important piece']	"""बुद्धिमान शतरंजी ने एक प्यादे से बादशाह को मारा ।"""	[]
1263	बादशाह_1	king_9	27363	10235024	* वह खिलाड़ी जो किसी विशेष खेल के क्षेत्र में चोटी पर या सबसे ऊपर हो	['a competitor who holds a preeminent position']	"""फेडरर टेनिस का बादशाह है । / सानिया भी कभी टेनिस की मल्लिका हो सकती है ।"""	[]
1264	बादशाहत_3	sovereignty_2	20902	14443532	बादशाह का शासन	['royal authority', ' the dominion of a monarch']	"""अकबर की बादशाही बहुत दिनों तक चली ।"""	[]
1265	बादशाही_1	kingly_2	12549	1591699	बादशाह संबंधी या बादशाह का	['having the rank of or resembling or befitting a king']	"""नगर में बादशाही पैग़ाम भेजा गया है ।"""	['symbolizing kingly power', 'the murder of his kingly guest']
1266	बदतमीज़ी_3	rudeness_6	45	4914292	अशिष्ट होने की अवस्था या भाव	['a manner that is rude and insulting']	"""अशिष्टता मानव को पशु बना देती है ।"""	[]
1267	भादों_1	Bhadon_1	781	15220503	श्रावण और आश्विन के बीच का महीना जो अंग्रेजी महीने के अगस्त और सितम्बर के बीच में आता है	['the sixth month of the Hindu calendar']	"""श्रीकृष्ण का जन्म भाद्रपद में कृष्ण पक्ष की अष्टमी को हुआ था ।"""	[]
1268	भय_1	fear_5	3368	7519253	विपत्ति या अनिष्ट की आशंका से मन में उत्पन्न होने वाला विकार या भाव	['an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)']	"""गुजरात के साम्प्रदायिक दंगों ने लोगों के मन में भय का संचार किया ।"""	[]
1269	बयालीस_1	forty-two_1	9598	2190469		['being two more than forty']		[]
1270	भयंकर_1	fearful_2	3746	193799	जिसे देखने से भय या डर लगे	['causing fear or dread or terror']	"""महिषासुर को मारने के लिए माँ काली ने भयानक रूप धारण किया । / मानसिंह एक खूँखार डाकू था ।"""	['the awful war', 'an awful risk', 'dire news', 'a career or vengeance so direful that London was shocked', 'the dread presence of the headmaster', 'polio is no longer the dreaded disease it once was', 'a dreadful storm', 'a fearful howling', 'horrendous explosions shook the city', 'a terrible curse']
1271	बयान_1	statement_4	4036	6722453	किसी विषय में कही हुई कोई ऐसी बात जो किसी विषय को स्पष्ट करे	['a message that is stated or declared', ' a communication (oral or written) setting forth particulars or facts etc']	"""दहेज पर उसका वक्तव्य क़ाबिले तारीफ़ था ।"""	['according to his statement he was in London on that day']
1272	बयासी_1	eighty-two_1	9599	2194351		['being two more than eighty']		[]
1273	बायाँ_1	left_2	9622	2032953	शरीर के उस ओर का जो किसी के पूरब की तरफ मुँह करके खड़े होने की अवस्था में उत्तर की ओर हो	['being or located on or directed toward the side of the body to the west when facing north']	"""लड़ाई में रघुवीर ने अपना बायाँ हाथ गँवा दिया ।"""	['my left hand', 'left center field', 'the left bank of a river is bank on your left side when you are facing downstream']
1274	बँगला_1	bungalow_2	5539	2919792	चारों ओर से खुला हुआ वह मकान जो एक ही खंड या मंजिल का हो	['a small house with a single story']	"""अमित एक आलीशान बँगले में रहता है ।"""	[]
1275	बँगला_2	Bengali_2	18689	3047714	बंगाली भाषा से संबंधित	['of or relating to or characteristic of Bengal or its people']	"""बंगाली साहित्य में रविन्द्रनाथ टैगोर का बहुत बड़ा योगदान है ।"""	['Bengali hills']
1276	बँगला_2	Bengali_2	7057	6970946	बंगाल की भाषा	['a Magadhan language spoken by the Bengali people', ' the official language of Bangladesh and Bengal']	"""मैं बंगाली सीखने की कोशिश कर रहा हूँ ।"""	[]
1277	बाँझ_1	unfertile_1	9558	1002377	(स्त्री या मादा पशु) जिसे संतान होती ही न हो	['incapable of reproducing']	"""बाँझ महिला ने अनाथालय से एक बच्चे को गोद ले लिया ।"""	['an infertile couple']
1278	बाँझपन_1	barrenness_3	22597	14045347	बाँझ होने की अवस्था	['the state (usually of a woman) of having no children or being unable to have children']	"""बाँझपन के कारण शीला माँ नहीं बन सकती ।"""	[]
1279	बाँक_1	curvature_6	11971	5072663	टेढ़े होने की अवस्था या भाव	['the property possessed by the curving of a line or surface']	"""कारीगर तार के टेढ़ेपन को दूर कर रहा है ।"""	[]
1280	बाँका_1	dandy_4	34217	1123879	जिसमें बहुत ही अनोखा सौंदर्य या माधुर्य हो	['very good']	"""हम तो उसकी बाँकी अदा के कायल हो गए ।"""	['he did a bully job', 'a neat sports car', 'had a great time at the party', 'you look simply smashing']
1281	बाँस_1	bamboo_1	7067	12147226	एक लम्बी, दृढ़ वनस्पति जिसके कांडों में जगह-जगह गाँठें होती हैं और जो छाजन, टोकरे आदि बनाने के काम आती है	['woody tropical grass having hollow woody stems', ' mature canes used for construction and furniture']	"""उसने अपने बगीचे में बाँस लगा रखा है ।"""	[]
1282	बाँसुरीवादक_1	flutist_1	7068	10098245	बाँसुरी बजानेवाला व्यक्ति	['someone who plays the flute']	"""पंडित हरिप्रसाद चौरसिया एक कुशल बाँसुरीवादक हैं ।"""	[]
1283	बँटाई_1	distribution_3	8494	1083077	बाँटने की क्रिया या भाव	['the act of distributing or spreading or apportioning']	"""सेठजी द्वारा गरीबों में कपड़ों की बँटाई के बाद अन्न बाँटा जा रहा है ।"""	[]
1284	बाँध_1	dam_1	8356	3160309	नदी या जलाशय का जल रोकने के लिए उसके किनारे बनी हुई मिट्टी, पत्थर आदि की रचना	['a barrier constructed to contain the flow of water or to keep out the sea']	"""नदियों पर बाँध बनाकर बिजली पैदा की जाती है ।"""	[]
1285	बेबसी_1	helplessness_5	7904	7538142	मजबूर होने की अवस्था या भाव	['a feeling of being unable to manage']	"""कभी-कभी मज़बूरी में लोग गलत काम भी कर जाते हैं ।"""	[]
1286	बैडमिंटन_1	badminton_1	21377	480508	एक खेल जिसमें चिड़िया को एक उपस्कर की सहायता से मारकर जाल के उस पार भेजा जाता है	['a game played on a court with light long-handled rackets used to volley a shuttlecock over a net']	"""राम बैडमिंटन का अच्छा खिलाड़ी है ।"""	[]
1287	बेड़ा_1	fleet_1	7328	8293336	बहुत सी नावों, जहाज़ों आदि का समूह	['a group of steamships operating together under the same ownership']	"""समुद्र किनारे बेड़ा लगा हुआ है ।"""	[]
1288	भेड़ा_1	ram_1	2477	2412080	भेड़ जाति का नर	['uncastrated adult male sheep']	"""दो भेड़े आपस में लड़ रहे हैं ।"""	"[""a British term is `tup' ""]"
1289	भेड़_1	sheep_1	28528	2411705	बकरी की तरह का एक चौपाया जिससे ऊन प्राप्त होता है	['woolly usually horned ruminant mammal related to the goat']	"""भेड़ की ऊन से गरम कपड़े बनाए जाते हैं । / भेड़ीहार भेड़ों को चरा रहा है ।"""	[]
1290	बेड़ा_2	raft_1	7327	4045397	नदी पार करने के लिए लट्ठों आदि से बनाया हुआ वह ढाँचा जो नाव का काम करता है	['a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers']	"""हम लोगों ने बेड़े से नदी को पार किया ।"""	[]
1291	भेड़ी_2	ewe_1	2487	2411999	मादा भेड़	['female sheep']	"""भेड़ अपने बच्चे को दूध पिला रही है ।"""	[]
1292	भेड़िया_1	wolf_2	1311	2114100	कुत्ते की जाति का एक प्रसिद्ध जंगली हिंसक जंतु जो छोटे जानवरों को उठा ले जाता है	['any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs']	"""गड़रिया भेड़िये को देखकर डर गया ।"""	[]
1293	बैग_1	bag_6	28333	2774152	वह थैला जिसमें रुपया-पैसा और कुछ व्यक्तिगत वस्तुएँ रखी जाती हैं और जो विशेषकर महिलाएँ प्रयोग करती हैं और जिसमें टंगना भी होता है	['a container used for carrying money and small personal items or accessories (especially by women)']	"""शीला अपने बैग में शीशा, कंघी आदि भी रखती है ।"""	['she reached into her bag and found a comb']
1294	बेगड़ी_1	jeweller_2	8112	10221956	नगीनों आदि को तराश कर सुडौल बनानेवाला कारीगर	['someone who makes jewelry']	"""स्वर्णकार की दुकान पर बैठा बेगड़ी पत्थरों को तराश कर गहनों में जड़ रहा था ।"""	[]
1295	बेघर_1	homeless_2	2384	1050603	बिना आवास का या जिसके पास आवास न हो	['physically or spiritually homeless or deprived of security']	"""सरयू में आयी भीषण बाढ़ ने हजारो लोगों को बेघर कर दिया ।"""	['made a living out of shepherding dispossed people from one country to another']
1296	बेघर_1	homeless_2	27954	10182190	वह जिसके पास रहने के लिए आवास या घर न हो	['someone with no housing']	"""मुम्बई में लाखों बेघर सड़कों पर सोने के लिए मजबूर हैं ।"""	['the homeless became a problem in the large cities']
1297	बेगुनाह_3	innocent_12	1917	2513614	जिसने पाप न किया हो	['free from sin']	"""ऐसा माना जाता है कि पापहीन व्यक्ति स्वर्ग का अधिकारी होता है ।"""	[]
1298	बेगुनाह_3	innocent_12	2932	1319874	जो अपराधी न हो	['free from evil or guilt']	"""कश्मीर में आतंकवादियों ने कितने ही निर्दोष लोगों की जान ले ली ।"""	['an innocent child', 'the principle that one is innocent until proved guilty']
1299	बेगुनाह_3	innocent_12	5868	9621359	वह व्यक्ति जो अपराधी न हो	['a person who lacks knowledge of evil']	"""सिपाही ने अपराधी की जगह पर निरपराधी को पकड़कर हवालात में डाल दिया ।"""	[]
1300	बेगुनाही_2	innocence_4	2834	13989627	अपराधहीन होने की अवस्था या भाव	['a state or condition of being innocent of a specific crime or offense']	"""इन गवाहों के बयान के आधार पर उसकी बेगुनाही सिद्ध हो जाएगी ।"""	['the trial established his innocence']
1301	बेहतर_1	better_5	3775	230335	जो अधिक अच्छा हो	"[""(comparative of `good' ) superior to another (of the same class or set or kind) in excellence or quality or desirability or suitability"", ' more highly skilled than another']"	"""बाज़ार में कई बेहतर चीज़ें उपलब्ध हैं ।"""	"[""You' re a better man than I am, Gunga Din"", 'a better coat', 'a better type of car', 'a suit with a better fit', 'a better chance of success', 'produced a better mousetrap', ""she' s better in math than in history""]"
1302	बेहया_1	shameless_9	2703	155720	जिसे लज्जा न आती हो या जिसमें लज्जा न हो	['feeling no shame']	"""वह निर्लज्ज व्यक्ति है,किसी के भी सामने कुछ भी कह देता है ।"""	['a shameless imposter', 'an unblushing apologist for fascism']
1303	बेहयाई_1	shamelessness_6	18372	4859636	निर्लज्ज होने की अवस्था, क्रिया या भाव	['behavior marked by a bold defiance of the proprieties and lack of shame']	"""निर्लज्जता की हद होती है ।"""	[]
1304	बेईमानी_1	dishonesty_2	1727	749574	छल-कपट या और किसी प्रकार का अनाचार करने की अवस्था या भाव	['lack of honesty', ' acts of lying or cheating or stealing']	"""बेईमानी का धन कभी रसता नहीं ।"""	[]
1305	भेजा_1	brain_4	6168	5481095	कपाल के भीतर केंद्रीय तंत्रिकातंत्र का वह भाग जो एक बड़ा कोमल पिंड होता है तथा अग्रमस्तिष्क, मध्यमस्तिष्क एवं पश्चमस्तिष्क से मिलकर बना होता है	['that part of the central nervous system that includes all the higher nervous centers', ' enclosed within the skull', ' continuous with the spinal cord']	"""मस्तिष्क की संरचना बहुत जटिल होती है ।"""	[]
1306	बेकारी_1	unemployment_2	5890	13968308	वह अवस्था जिसमें जीविका-निर्वाह के लिए मनुष्य के हाथ में कोई काम धंधा नहीं रहता	['the state of being unemployed or not having a job']	"""दिन-प्रतिदिन बेरोज़गारी की समस्या बढ़ती जा रही है ।"""	['unemployment is a serious social evil', 'the rate of unemployment is an indicator of the health of an economy']
1307	बेख़बरी_1	unawareness_1	2507	5679611	अनभिज्ञ होने की अवस्था या भाव	['unconsciousness resulting from lack of knowledge or attention']	"""मेरी अनभिज्ञता की वजह से अच्छा काम हाथ से निकल गया ।"""	[]
1308	बैल_1	ox_2	4495	2403003	गौ जाति का बधिया किया हुआ वह नर चौपाया जो कलों और गाड़ियों में जोता जाता है	['an adult castrated bull of the genus Bos', ' especially Bos taurus']	"""बैल किसान के लिए बहुत ही उपयोगी होता है ।"""	[]
1309	बेला_1	time_11	878	15129927	मिनटों, घंटों, वर्षों आदि में नापी जाने वाली दूरी या गति जिससे भूत, वर्तमान आदि का बोध होता है	['the time as given by a clock']	"""समय किसी का इंतजार नहीं करता । / आप किस ज़माने की बात कर रहे हैं । / वक़्त कैसे बीतता है, कुछ पता ही नहीं चलता । / वह कुछ देर के लिए यहाँ भी आया था ।"""	"['do you know what time it is?', ""the time is 10 o' clock""]"
1310	बेलचा_1	shovel_1	7329	4208210	एक उपकरण जिससे मिट्टी आदि उठाकर कहीं डालते या कोई चीज आदि भरते हैं	['a hand tool for lifting loose material', ' consists of a curved container or scoop and a handle']	"""वह बेलचे से कोयला उठा-उठाकर टोकरी में रख रहा है ।"""	[]
1311	बेलन_1	roller_1	23888	4101497	लम्बोतरे आकार का कोई बड़ा पुर्जा जो यंत्रो में लगता हो	['a cylinder that revolves']	"""पतरा बनाने के लिए धातु को दो बड़े बेलनों के बीच से गुजारते हैं ।"""	[]
1312	बेलन_1	roller_1	7332	129435	लम्बोतरे आकार का वह भारी गोल खंड जिससे कोई स्थान समतल करते अथवा कंकड़-पत्थर कूटकर सड़कें बनाते हैं	['a grounder that rolls along the infield']	"""रोलर में लगा बेलन सड़क आदि को समतल करता है ।"""	[]
1313	बेलनाकार_1	cylindrical_1	38357	2045723	बेलन के आकार का या गोल और लंबा	['having the form of a cylinder']	"""गैस सिलिंडर, नली आदि बेलनाकार होते हैं ।"""	[]
1314	बेंच_1	bench_2	13015	2828884	लकड़ी, लोहे आदि की बनी लंबी चौकी	['a long seat for more than one person']	"""इस बेंच पर चार लोग बैठ सकते हैं ।"""	[]
1315	बेंच_1	bench_2	13017	2829116	वह आसन जिस पर न्यायकर्ता बैठता हो	['(law) the seat for judges in a courtroom']	"""बेंच पर न्यायकर्ता आसीन है ।"""	[]
1316	बैंगन_1	brinjal_1	6478	12896000	एक पौधा जिसके फलों की तरकारी बनती है	['hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable']	"""किसान बैगन के खेत में निराई-गुड़ाई कर रहा है ।"""	[]
1317	बैंगनी_1	violet_2	6567	380312	बैंगन या जामुन की तरह लाली लिए नीले रंग का	['of a color intermediate between red and blue']	"""उसपर बैंगनी रंग के कपड़े खूब फबते हैं ।"""	[]
1318	बैंक_1	bank_12	10612	2787772	वह स्थान जहाँ ब्याज पाने की इच्छा से रुपया जमा किया जाता हो और ऋण भी लिया जा सकता हो	['a building in which the business of banking transacted']	"""उसने बैंक में दस हज़ार रूपए जमा किए ।"""	['the bank is on the corner of Nassau and Witherspoon']
1319	बैंक_1	bank_12	34771	8420278	वह संस्था जो मुख्य रूप से सूद पर रुपयों के लेन-देन का काम करती हो	['a financial institution that accepts deposits and channels the money into lending activities']	"""पढ़ाई के लिए भी बैंक से ऋण मिल जाता है ।"""	['he cashed a check at the bank', 'that bank holds the mortgage on my home']
1320	बैंकर_1	banker_1	34873	9837824	बैंक का कोई कर्मचारी	['someone who owns or is an executive in a bank']	"""एक बैंककर्मी घूस लेते हुए पकड़ा गया ।"""	[]
1321	भेंट_1	present_9	5841	13268842	वह वस्तु जो किसी समारोह में या किसी से मिलने पर उसको भेंट स्वरूप दी जाती है	['something presented as a gift']	"""जन्मदिन पर उसको ढेर सारे उपहार मिले ।"""	['his tie was a present from his wife']
1322	भेंट_4	meeting_5	7450	8310389	दो या कई व्यक्तियों के आपस में मिलने की क्रिया	['a small informal social gathering']	"""आज एक अच्छे इन्सान से भेंट हुई है ।"""	['there was an informal meeting in my living room']
1323	भेंटवार्ता_1	interview_3	7238	7196075	रेडियो, दूरदर्शन पर या पत्रों आदि में प्रकाशित करने के किसी विशिष्ट व्यक्ति से कराई जानेवाली भेंट तथा वार्ता	['the questioning of a person (or a conversation in which information is elicited)', ' often conducted by journalists']	"""आज दूरदर्शन पर प्रधानमंत्री जी की भेंट-वार्ता का प्रसारण किया जाएगा ।"""	['my interviews with teenagers revealed a weakening of religious bonds']
1324	बेंत_2	stick_6	1629	13165646	बेंत का डंठल जिसका उपयोग छड़ी के रूप में किया जाता है	['a small thin branch of a tree']	"""श्याम का गृह-कार्य अधूरा होने के कारण अध्यापक जी ने उसे बेंत से पीटा ।"""	[]
1325	बेर_2	jujube_1	6218	7765999	एक कँटीले पौधे से प्राप्त खाद्यफल	['dark red plumlike fruit of Old World buckthorn trees']	"""हिन्दू धर्म-ग्रंथों के अनुसार प्रभु राम ने शबरी के जूठे बेर खाए थे ।"""	[]
1326	बेर_2	jujube_1	28546	13143285	झड़बेरी नामक पेड़ का फल	['spiny tree having dark red edible fruits']	"""बंदर झड़बेरी को काट-काटकर नीचे फेंक रहा है ।"""	[]
1327	बेरहमी_1	cruelty_8	2638	4845475	निर्दय होने की अवस्था, गुण या भाव	['the quality of being cruel and causing tension or annoyance']	"""सुरेश मज़दूरों से निर्दयता के साथ व्यवहार करता है ।"""	[]
1328	भेषज_2	medicine_5	3735	3740161	रोगी को स्वस्थ करने अथवा रोग का इलाज या उसकी रोकथाम करने के लिए विधिपूर्वक बनाया हुआ पदार्थ	['(medicine) something that treats or prevents or alleviates the symptoms of disease']	"""नियमित औषध लेने से ही बीमारी ठीक होती है ।"""	[]
1329	बैरक_1	barrack_1	21461	2794779	सेना को रखने के लिए बनाए गए मकान	['a building or group of buildings used to house military personnel']	"""यहाँ की कई बैरक खाली हैं ।"""	[]
1330	बेरोजगार_1	jobless_1	7320	865007	जिसके हाथ में जीविका-निर्वाह के लिए कोई काम-धंधा न हो	['not having a job']	"""आजकल बहुत सारे युवक बेरोज़गार हैं ।"""	['idle carpenters', 'jobless transients', 'many people in the area were out of work']
1331	बेरोज़गार_1	unemployed_4	21376	8477307	वह जिसके हाथ में जीविका-निर्वाह के लिए कोई काम-धंधा न हो	['people who are involuntarily out of work (considered as a group)']	"""दिन प्रतिदिन बेरोज़गारों की संख्या बढ़ती जा रही है ।"""	['the long-term unemployed need assistance']
1332	बैरोमीटर_1	barometer_1	15883	2794156	थर्मामीटर की तरह का पर उससे बड़ा एक यंत्र जिससे हवा का दाब मापा जाता है	['an instrument that measures atmospheric pressure']	"""बैरोमीटर में पानी, हवा अथवा पारा का प्रयोग किया जाता है ।"""	[]
1333	बेसमझी_1	foolishness_6	2508	4891333	मूर्ख होने की अवस्था या भाव	['the trait of acting stupidly or rashly']	"""किसी की मूर्खता पर मत हँसो ।"""	[]
1334	बेवा_1	widow_1	7334	10780284	वह स्त्री जिसका पति मर गया हो	['a woman whose husband is dead especially one who has not remarried']	"""मेजर रणवीर को मरणोपरांत परमवीर चक्र से सम्मानित किया गया जिसे उनकी विधवा ने स्वीकार किया ।"""	[]
