Hin_Label	Eng_Label	POS	MRS_Concept	MRS_Feature_Values
Oops!<class 'IndexError'>occurred.alphabet_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अक्षर-ज्ञान_1	literacy_1	noun	_literacy_n_1	LBL: h* ARG0: x* 
अक्षर-माला_1	syllabary_2	noun	_syllabary/NN_u_unknown	LBL: h* ARG0: x* 
अक्षर-माला_2	alphabet_2	noun	_alphabet_n_1	LBL: h* ARG0: x* 
अक्षर-विन्यास_1	orthography_1	noun	_orthography/NN_u_unknown	LBL: h* ARG0: x* 
अक्षर-विन्यास_2	syllabification_1	noun	_syllabification/NN_u_unknown	LBL: h* ARG0: x* 
अक्षरशः_1	literally_1	adv	_literal_a_1	LBL: h* ARG0: e* ARG1: e* 
अक्षर-शोधन_1	proofreading_1	noun	_proofreading/NN_u_unknown	LBL: h* ARG0: x* 
अक्षर-संयोजन_1	typesetting_1	noun	_typesetting/NN_u_unknown	LBL: h* ARG0: x* 
अक्षरी_1	spelling_1	noun	_spelling_n_1	LBL: h* ARG0: x* 
अक्षरौटी_1	syllabary_3	noun	_syllabary/NN_u_unknown	LBL: h* ARG0: x* 
अक्षरौटी_2	alphabet_3	noun	_alphabet_n_1	LBL: h* ARG0: x* 
अक्षरौटी_3	handwriting_1	noun	_handwriting_n_1	LBL: h* ARG0: x* 
अक्षि_1	eye_2	noun	_eye_n_1	LBL: h* ARG0: x* 
अक्षीय_1	axial_1	adj	_axial_a_1	LBL: h* ARG0: e* ARG1: x* 
अक्षुण्ण_1	unbroken_1	adj	_unbroken_a_1	LBL: h* ARG0: e* ARG1: x* 
अक्षुण्ण_2	continuing_1	adj	_continue_v_1	LBL: h* ARG0: e* ARG1: x* 
अक्षेम_1	misfortune_2	adj	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अक्षेम_1	misfortune_2	adj	_misfortune_n_1	LBL: h* ARG0: x* 
अक्षेम_2	unfortunate_1	adj	_unfortunate_a_1	LBL: h* ARG0: e* ARG1: x* 
अक्षेम_3	wretched_1	adj	_wretched_a_1	LBL: h* ARG0: e* ARG1: x* 
अक्षोनि_1	army_1	noun	_army_n_of	LBL: h* ARG0: x* ARG1: i* 
अक्षोहिणी_1	army_2	noun	_army_n_of	LBL: h* ARG0: x* ARG1: i* 
अक्स_1	reverse_1	noun	_reverse_n_of	LBL: h* ARG0: x* ARG1: i* 
अक्स_2	counterpart_1	noun	_counterpart_n_to	LBL: h* ARG0: x* ARG1: i* 
अक्स_3	reflection_2	noun	_reflection_n_1	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.prec_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अक्स+करना_2	1_3	noun	generic_entity	LBL: h* ARG0: x* 
अक्स+करना_2	1_3	noun	card	,CARG:_VALUES
Oops!<class 'IndexError'>occurred.prec_2,SOME PROBLEM IN FATCHING MRS VALUES #############

अक्स+का_2	1_4	noun	generic_entity	LBL: h* ARG0: x* 
अक्स+का_2	1_4	noun	card	,CARG:_VALUES
अक्सर_1	see_6	adv	pronoun_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अक्सर_1	see_6	adv	pron	LBL: h* ARG0: x* 
अक्सर_1	see_6	adv	_see_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: h* 
अखंड_1	unbroken_2	adj	_unbroken_a_1	LBL: h* ARG0: e* ARG1: x* 
अखंड_2	undivided_2	adj	_undivided_a_1	LBL: h* ARG0: e* ARG1: x* 
अखंड_3	entire_2	adj	_entire_a_1	LBL: h* ARG0: e* ARG1: x* 
अखंड_4	unlimited_1	adj	_unlimited_a_1	LBL: h* ARG0: e* ARG1: x* 
अखंड_5	uninterrupted_1	adj	_uninterrupted_a_1	LBL: h* ARG0: e* ARG1: x* 
अखंड_6	continuous_1	adj	_continuous_a_1	LBL: h* ARG0: e* ARG1: x* 
अखंड_7	indivisible_1	adj	_indivisible_a_1	LBL: h* ARG0: e* ARG1: x* 
अखंड_8	indestructible_1	adj	_indestructible/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अखंडता_1	wholeness_1	noun	_wholeness/NN_u_unknown	LBL: h* ARG0: x* 
अखंडता_2	entirety_1	noun	_entirety_n_1	LBL: h* ARG0: x* 
अखंडता_3	integrity_1	noun	_integrity_n_1	LBL: h* ARG0: x* 
अखंडनीय_1	indivisible_2	adj	_indivisible_a_1	LBL: h* ARG0: e* ARG1: x* 
अखंडनीय_2	indestructible_2	adj	_indestructible/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अखंडनीय_3	irrefutable_1	adj	_irrefutable/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अखंडनीय_4	incontestable_1	adj	_incontestable/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अखंडित_1	unbroken_3	adj	_unbroken_a_1	LBL: h* ARG0: e* ARG1: x* 
अखंडित_2	unlimited_2	adj	_unlimited_a_1	LBL: h* ARG0: e* ARG1: x* 
अखंडित_3	continuous_2	adj	_continuous_a_1	LBL: h* ARG0: e* ARG1: x* 
Oops!<class 'IndexError'>occurred.distasteful_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अखज-अदावत_1	hostility_1	noun	_hostility_n_1	LBL: h* ARG0: x* 
अखज-अदावत_2	illwill_1	noun	_illwill/NN_u_unknown	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.coarse_1,SOME PROBLEM IN FATCHING MRS VALUES #############

Oops!<class 'IndexError'>occurred.rude_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अख़बार_1	journalist_1	noun	_journalist_n_1	LBL: h* ARG0: x* 
अख़बार_2	reporter_1	noun	_reporter_n_of	LBL: h* ARG0: x* ARG1: i* 
अख़बार-नवीस_1	journalist_2	noun	_journalist_n_1	LBL: h* ARG0: x* 
अख़बार-नवीस_2	reporter_2	noun	_reporter_n_of	LBL: h* ARG0: x* ARG1: i* 
अख़बार-नवीस˚ई_1	journalism_1	noun	_journalism_n_1	LBL: h* ARG0: x* 
अख़बारवाला_1	journalist_3	noun	_journalist_n_1	LBL: h* ARG0: x* 
अख़बारी+भाषा_1	journalese_1	noun	_journalese_n_1	LBL: h* ARG0: x* 
अखय-तीज_1	m_7	noun	_meter_n_1	LBL: h* ARG0: x* 
अखर_1	irritate_1	verb	_irritate_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अखरोट_1	walnut_1	noun	_walnut_n_1	LBL: h* ARG0: x* 
अख़लाक़_1	morals_1	noun	_moral_n_1	LBL: h* ARG0: x* 
अख़लाक़_2	ethics_1	noun	_ethics_n_1	LBL: h* ARG0: x* 
अख़लाक़_3	morality_1	noun	_morality_n_1	LBL: h* ARG0: x* 
अख़लाक़_4	virtues_1	noun	_virtue_n_of	LBL: h* ARG0: x* ARG1: i* 
अख़लाक़_5	friendliness_1	noun	_friendliness_n_to-towards	LBL: h* ARG0: x* ARG1: i* 
अखाड़ा_1	arena_1	noun	_arena_n_1	LBL: h* ARG0: x* 
अखाड़ा_2	ring_3	noun	_ring_n_1	LBL: h* ARG0: x* 
अखाड़ा_3	courtyard_1	noun	_courtyard_n_1	LBL: h* ARG0: x* 
अखाड़ा_4	gymnasium_1	noun	_gymnasium_n_1	LBL: h* ARG0: x* 
अखाड़ा_5	band_1	noun	_band_n_1	LBL: h* ARG0: x* 
अखाड़ा_6	company_1	noun	_company_n_of	LBL: h* ARG0: x* ARG1: i* 
अखाड़ा_7	group_3	noun	_group_n_of	LBL: h* ARG0: x* 
अखाड़ा+गरम+होना_1	bustling_1	noun	_bustle_v_1	LBL: h* ARG0: e* ARG1: i* 
अखाड़ा+गरम+होना_1	bustling_1	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
अखाड़ा+जमना_1	group_4	noun	_group_n_of	LBL: h* ARG0: x* 
अखाड़ा+जम_1	assemble_1	verb	_assemble_v_1	LBL: h* ARG0: e* ARG1: x* 
अखाड़ेबाज़_1	wrestler_1	noun	_wrestler/NN_u_unknown	LBL: h* ARG0: x* 
अखाड़ेबाज़_2	athlete_1	noun	_athlete_n_1	LBL: h* ARG0: x* 
अखाड़ेबाज़_3	manoeuvrer_1	noun	_manoeuvrer/NN_u_unknown	LBL: h* ARG0: x* 
अखाड़ेबाज़˚ई_1	wrestling_1	noun	_wrestle_v_1	LBL: h* ARG0: e* ARG1: i* 
अखाड़ेबाज़˚ई_1	wrestling_1	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
अखाड़ेबाज़˚ई_2	manoeuvring_1	noun	_manoeuvring/NN_u_unknown	LBL: h* ARG0: x* 
अखड़िया_1	wrestler_2	noun	_wrestler/NN_u_unknown	LBL: h* ARG0: x* 
अखड़िया_2	athlete_2	noun	_athlete_n_1	LBL: h* ARG0: x* 
अखड़िया_3	gymnast_1	noun	_gymnast/NN_u_unknown	LBL: h* ARG0: x* 
अखड़िया_4	intriguer_1	noun	_intriguer/NN_u_unknown	LBL: h* ARG0: x* 
अखाद्य_1	inedible_1	noun	_inedible/NN_u_unknown	LBL: h* ARG0: x* 
अखिल_1	Śiva_1	adj	proper_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अखिल_1	Śiva_1	adj	named	,CARG:_VALUES
अखिल+भारतीय_1	allIndian_1	adj	proper_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अखिल+भारतीय_1	allIndian_1	adj	named	,CARG:_VALUES
अखिलेश्वर_1	Śiva_2	noun	named	,CARG:_VALUES
अख़्तियार_1	authority_1	noun	_authority_n_1	LBL: h* ARG0: x* 
अख़्तियार_2	power_1	noun	_power_n_1	LBL: h* ARG0: x* 
अख़्तियार_3	jurisdiction_1	noun	_jurisdiction_n_1	LBL: h* ARG0: x* 
अख़्तियार_4	privilege_1	noun	_privilege_n_of	LBL: h* ARG0: x* ARG1: i* 
अख़्तियार_5	option_1	noun	_option_n_1	LBL: h* ARG0: x* 
अख़्तियार_6	choice_1	noun	_choice_n_of	LBL: h* ARG0: x* ARG1: i* 
अख़्तियार_7	preference_1	noun	_preference_n_for	LBL: h* ARG0: x* ARG1: i* 
अख़्तियार+कर_1	choose_1	verb	_choose_v_from	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अख़्तियार+कर_2	elect_1	verb	_elect_a_1	LBL: h* ARG0: e* ARG1: i* 
अख़्तियार+कर_3	accept_4	verb	_accept_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अख़्तियार+कर_4	adopt_1	verb	_adopt_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अख़्तियार+करना_1	activity_1	noun	_activity_n_1	LBL: h* ARG0: x* 
अख़्तियार+का_1	choose_2	verb	_choose_v_from	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अख़्तियार+का_2	elect_2	verb	_elect_a_1	LBL: h* ARG0: e* ARG1: i* 
अख़्तियार+का_3	accept_5	verb	_accept_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अख़्तियार+का_4	adopt_2	verb	_adopt_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अख़्तियार+का_5	activity_2	noun	_activity_n_1	LBL: h* ARG0: x* 
अख्यात_1	unknown_1	adj	_unknown_a_1	LBL: h* ARG0: e* ARG1: x* 
अख्यात_2	obscure_1	adj	_obscure_a_1	LBL: h* ARG0: e* ARG1: x* 
अख्यात_3	infamous_1	adj	_infamous/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अख्याति_1	infamy_2	noun	_infamy/NN_u_unknown	LBL: h* ARG0: x* 
अख्याति_2	obscurity_2	noun	_obscurity/NN_u_unknown	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.mountain_1,SOME PROBLEM IN FATCHING MRS VALUES #############

Oops!<class 'IndexError'>occurred.tree_2,SOME PROBLEM IN FATCHING MRS VALUES #############

अगड़धत्त_1	sturdy_1	adj	_sturdy_a_1	LBL: h* ARG0: e* ARG1: x* 
अगड़-बगड़_1	confused_1	adj	_confused_a_about	LBL: h* ARG0: e* ARG1: x* 
अगड़-बगड़_2	jumbled_1	adj	_jumble_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अगड़-बगड़_2	jumbled_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अगड़-बगड़_3	worthless_1	adj	_worthless_a_to	LBL: h* ARG0: e* ARG1: x* ARG2: i* 
अगड़-बगड़_4	mconfusion_1	adj	_mconfusion/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
Oops!<class 'IndexError'>occurred.jumble_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अगड़-बगड़_6	junk_2	adj	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अगड़-बगड़_6	junk_2	adj	_junk_n_1	LBL: h* ARG0: x* 
अगणित_1	uncounted_1	adj	_count_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अगणित_1	uncounted_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अगणित_1	uncounted_1	adj	_un-_a_rvrs	LBL: h* ARG0: i* ARG1: e* 
अगण्य_1	innumerable_1	adj	_innumerable_a_1	LBL: h* ARG0: e* ARG1: x* 
अगण्य_2	incalculable_1	adj	_incalculable_a_1	LBL: h* ARG0: e* ARG1: x* 
अगण्य_3	insignificant_1	adj	_insignificant_a_1	LBL: h* ARG0: e* ARG1: x* 
Oops!<class 'IndexError'>occurred.hereafter_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अगत_2	plight_1	noun	_plight/NN_u_unknown	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.adj_2,SOME PROBLEM IN FATCHING MRS VALUES #############

अगति_1	motionlessness_1	adj	_motionlessness/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अगति_2	inertness_1	adj	_inertness/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अगति_3	inert_1	adj	_inert_a_1	LBL: h* ARG0: e* ARG1: x* 
अगति_4	helpless_1	adj	_helpless_a_1	LBL: h* ARG0: e* ARG1: x* 
अगतिक_1	helpless_2	adj	_helpless_a_1	LBL: h* ARG0: e* ARG1: x* 
Oops!<class 'IndexError'>occurred.future_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अगम_1	reg_6	noun	_reg/NN_u_unknown	LBL: h* ARG0: x* 
अगम्य_1	inaccessible_1	adj	_inaccessible_a_1	LBL: h* ARG0: e* ARG1: x* 
अगम्य_2	unattainable_1	adj	_unattainable/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अगम्य_3	incomprehensible_1	adj	_incomprehensible_a_1	LBL: h* ARG0: e* ARG1: x* 
अगम्य_4	impenetrable_1	adj	_impenetrable_a_1	LBL: h* ARG0: e* ARG1: x* 
अगम्य_5	unfathomable_1	adj	_unfathomable/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अगम्य_6	unbounded_1	adj	_unbounded_a_1	LBL: h* ARG0: e* ARG1: x* 
अगर-मगर_1	evasion_1	noun	_evasion/NN_u_unknown	LBL: h* ARG0: x* 
अगर-मगर_2	prevarication_1	noun	_prevarication/NN_u_unknown	LBL: h* ARG0: x* 
अगर-मगर+कर_1	argue_1	verb	_argue_v_with	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अगर-मगर+कर_2	hesitate_1	verb	_hesitate_v_1	LBL: h* ARG0: e* ARG1: x* 
अगर-मगर+कर_3	prevaricate_1	verb	_prevaricate/NN_u_unknown	LBL: h* ARG0: x* 
अगर-मगर+कर_3	prevaricate_1	verb	_pre-_a_ante	LBL: h* ARG0: e* ARG1: x* ARG2: u* 
अगर-मगर+कर_3	prevaricate_1	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
Oops!<class 'IndexError'>occurred.nearby_1,SOME PROBLEM IN FATCHING MRS VALUES #############

Oops!<class 'IndexError'>occurred.foremost_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अगला_2	front_1	noun	_front_n_1	LBL: h* ARG0: x* 
अगला_3	first_1	noun	dofm	,CARG:_VALUES
अगला_4	former_1	noun	_former_n_1	LBL: h* ARG0: x* 
अगला_5	last_3	noun	_last_n_1	LBL: h* ARG0: x* 
अगला_6	old_1	noun	_old_n_1	LBL: h* ARG0: x* 
अगला_7	oldfashioned_1	noun	_oldfashioned/NN_u_unknown	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.recent_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अगला_9	period_2	noun	_period_n_of	LBL: h* ARG0: x* ARG1: i* 
अगला_10	following_1	noun	_following_n_1	LBL: h* ARG0: x* 
अगला_11	next_1	noun	_next_n_1	LBL: h* ARG0: x* 
अगला_12	future_2	noun	_future_n_1	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.impending_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अगला_14	chief_1	noun	_chief_n_1	LBL: h* ARG0: x* 
अगला_15	principal_1	noun	_principal_n_1	LBL: h* ARG0: x* 
अगला_16	leader_1	noun	_leader_n_of	LBL: h* ARG0: x* ARG1: i* 
अगला_17	chief_2	noun	_chief_n_1	LBL: h* ARG0: x* 
अगला_18	forefathers_1	noun	_forefather_n_1	LBL: h* ARG0: x* 
अगला_19	descendants_1	noun	_descendant_n_1	LBL: h* ARG0: x* 
अगला_20	posterity_1	noun	_posterity/NN_u_unknown	LBL: h* ARG0: x* 
अगले+ज़माने+का_1	simple_1	adj	_simple_a_for	LBL: h* ARG0: e* ARG1: x* 
अगले+ज़माने+का_2	straightforward_1	adj	_straightforward_a_1	LBL: h* ARG0: e* ARG1: x* 
अगवाड़ा_1	front_2	noun	_front_n_1	LBL: h* ARG0: x* 
अगवानी_1	welcome_1	noun	_welcome_n_1	LBL: h* ARG0: x* 
अगवानी_2	forerunner_1	noun	_forerunner_n_1	LBL: h* ARG0: x* 
अगवानी_3	emissary_1	noun	_emissary/NN_u_unknown	LBL: h* ARG0: x* 
अगाऊ_1	advance_1	noun	_advance_n_of	LBL: h* ARG0: x* ARG1: i* 
अगाऊ_2	advanced_1	adj	_advanced_a_1	LBL: h* ARG0: e* ARG1: x* 
Oops!<class 'IndexError'>occurred.beforehand_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अगाड़ी_1	front_3	noun	_front_n_1	LBL: h* ARG0: x* 
अगाड़ी_2	forepart_1	noun	_forepart/NN_u_unknown	LBL: h* ARG0: x* 
अगाड़ी_3	2_2	noun	card	,CARG:_VALUES
अगाड़ी_4	advance_2	noun	_advance_n_of	LBL: h* ARG0: x* ARG1: i* 
Oops!<class 'IndexError'>occurred.ahead_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अगाध_1	bottomless_1	adj	_bottomless_a_1	LBL: h* ARG0: e* ARG1: x* 
अगाध_2	unfathomable_2	adj	_unfathomable/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अगाध_3	profound_1	adj	_profound_a_1	LBL: h* ARG0: e* ARG1: x* 
अगाधता_1	bottomlessness_1	noun	_bottomlessness/NN_u_unknown	LBL: h* ARG0: x* 
अगाधता_2	profundity_1	noun	_profundity/NN_u_unknown	LBL: h* ARG0: x* 
आगिया_1	dimin_2	noun	_dim_v_1	LBL: h* ARG0: e* ARG1: i* 
आगिया_1	dimin_2	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
अगिया_1	burn_1	verb	_burn_v_1	LBL: h* ARG0: e* ARG1: x* 
अगिया_2	heat_3	verb	_heat_v_1	LBL: h* ARG0: e* ARG1: x* 
अगिया_3	bake_1	verb	_bake_v_1	LBL: h* ARG0: e* ARG1: x* 
अगिया_4	fire_1	verb	_fire_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अगुआ_1	guide_1	noun	_guide_n_1	LBL: h* ARG0: x* 
अगुआ_2	leader_2	noun	_leader_n_of	LBL: h* ARG0: x* ARG1: i* 
अगुआ_3	matchmaker_1	noun	_matchmaker/NN_u_unknown	LBL: h* ARG0: x* 
अगुआई_1	lead_1	noun	_lead_n_1	LBL: h* ARG0: x* 
अगुण_1	unqualified_1	adj	_qualify_v_for	LBL: h* ARG0: e* ARG1: i* ARG2: x* 
अगुण_1	unqualified_1	adj	parg_d	LBL: h* ARG0: e* ARG1: e* ARG2: x* 
अगुण_1	unqualified_1	adj	_un-_a_rvrs	LBL: h* ARG0: i* ARG1: e* 
Oops!<class 'IndexError'>occurred.defect_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अगुण_3	fault_1	adj	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अगुण_3	fault_1	adj	_fault_n_1	LBL: h* ARG0: x* 
अगुण_4	vice_2	adj	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अगुण_4	vice_2	adj	_vice_n_1	LBL: h* ARG0: x* 
अगुवा_1	see_7	noun	_see_n_1	LBL: h* ARG0: x* 
अगूढ़_1	manifest_1	adj	_manifest_a_1	LBL: h* ARG0: e* ARG1: x* 
अगूढ़_2	open_1	adj	_open_a_1	LBL: h* ARG0: e* ARG1: x* 
अगूढ़_3	straightforward_2	adj	_straightforward_a_1	LBL: h* ARG0: e* ARG1: x* 
अगोचर_1	unseen_1	adj	_unseen_a_1	LBL: h* ARG0: e* ARG1: x* 
अगोचर_2	mysterious_1	adj	_mysterious_a_1	LBL: h* ARG0: e* ARG1: x* 
आगोट-_1	check_1	verb	_check_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
Oops!<class 'IndexError'>occurred.confine_1,SOME PROBLEM IN FATCHING MRS VALUES #############

Oops!<class 'IndexError'>occurred.reject_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अगोर_1	watch_1	verb	_watch_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अगोर_2	guard_1	verb	_guard_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अग्ग्रास_1	sacrifices_1	noun	_sacrifice_n_1	LBL: h* ARG0: x* 
अग्नि_1	digestion_1	noun	_digestion_n_1	LBL: h* ARG0: x* 
अग्नि-कर्म_1	cremation_1	noun	_cremation/NN_u_unknown	LBL: h* ARG0: x* 
अग्नि-कांड_1	conflagration_1	noun	_conflagration/NN_u_unknown	LBL: h* ARG0: x* 
अग्नि-कुंड_1	firepit_1	noun	_firepit/NN_u_unknown	LBL: h* ARG0: x* 
अग्नि-कोण_1	southeast_1	noun	_southeast_n_1	LBL: h* ARG0: x* 
अग्नि-क्रिया_1	cremation_2	noun	_cremation/NN_u_unknown	LBL: h* ARG0: x* 
अग्नि-ज्वाला_1	flame_1	noun	_flame_n_1	LBL: h* ARG0: x* 
अग्नि-दाह_1	cremation_3	noun	_cremation/NN_u_unknown	LBL: h* ARG0: x* 
अग्नि-दाह_2	torment_1	noun	_torment_n_1	LBL: h* ARG0: x* 
अग्नि-निरोधक_1	fireresistant_1	adj	_fireresistant/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अग्निवर्धक_1	digestive_1	adj	_digestive_a_1	LBL: h* ARG0: e* ARG1: x* 
अग्नि-वर्षा_1	bombardment_1	noun	_bombardment/NN_u_unknown	LBL: h* ARG0: x* 
अग्नि-शामक_1	fireextinguisher_1	noun	_fireextinguisher/NN_u_unknown	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.˚_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अग्निसह_1	fireresistant_2	adj	_fireresistant/JJ_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अग्न्यस्त्र_1	firearm_1	noun	_firearm_n_1	LBL: h* ARG0: x* 
अग्न्याशय_1	pancreas_1	noun	_pancreas/NN_u_unknown	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.front_4,SOME PROBLEM IN FATCHING MRS VALUES #############

अग्र_2	foremost_2	adj	_foremost_a_1	LBL: h* ARG0: e* ARG1: x* 
अग्र_3	first_2	adj	generic_entity	LBL: h* ARG0: x* 
अग्र_3	first_2	adj	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अग्र_3	first_2	adj	ord	,CARG:_VALUES
अग्र_4	prior_1	adj	_prior_a_1	LBL: h* ARG0: e* ARG1: x* 
अग्र_5	prominent_2	adj	_prominent_a_1	LBL: h* ARG0: e* ARG1: x* 
अग्र_6	chief_3	adj	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अग्र_6	chief_3	adj	_chief_n_1	LBL: h* ARG0: x* 
अग्र_7	best_1	adj	_good_a_at-for-of	LBL: h* ARG0: e* ARG1: x* 
अग्र_7	best_1	adj	superl	LBL: h* ARG0: e* ARG1: e* 
अग्र_8	foremost_3	adj	_foremost_a_1	LBL: h* ARG0: e* ARG1: x* 
अग्र_9	beginning_1	adj	_begin_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अग्र-गण्य_1	3_1	adj	number_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अग्र-गण्य_1	3_1	adj	card	,CARG:_VALUES
अग्र-गति_1	progress_1	noun	_progress_n_1	LBL: h* ARG0: x* 
अग्रतः_1	previously_1	adv	_previously_p	LBL: h* ARG0: e* ARG1: e* 
अग्र-गामी_1	preceding_1	adj	_precede_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अग्र-गामी_2	leading_2	adj	_lead_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अग्र-गामी_3	avantgarde_1	adj	_avantgarde_a_1	LBL: h* ARG0: e* ARG1: x* 
Oops!<class 'IndexError'>occurred.forerunner_2,SOME PROBLEM IN FATCHING MRS VALUES #############

Oops!<class 'IndexError'>occurred.leader_3,SOME PROBLEM IN FATCHING MRS VALUES #############

Oops!<class 'IndexError'>occurred.predecessor_1,SOME PROBLEM IN FATCHING MRS VALUES #############

अग्रज_2	elder_1	adj	_old_a_1	LBL: h* ARG0: e* ARG1: x* 
अग्रज_2	elder_1	adj	comp	LBL: h* ARG0: e* ARG1: e* ARG2: u* 
अग्रज_3	eldest_1	adj	_eldest/JJS_u_unknown	LBL: h* ARG0: e* ARG1: x* 
अग्रज_3	eldest_1	adj	superl	LBL: h* ARG0: i* ARG1: e* 
अग्रज˚-जा_1	f_6	noun	named	,CARG:_VALUES
अग्र-दूत_1	herald_1	noun	_herald_n_1	LBL: h* ARG0: x* 
अग्र-दूत_2	forerunner_3	noun	_forerunner_n_1	LBL: h* ARG0: x* 
Oops!<class 'IndexError'>occurred.leader_4,SOME PROBLEM IN FATCHING MRS VALUES #############

अग्रसर_1	preceding_2	adj	_precede_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अग्रसर_2	leading_3	adj	_lead_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अग्रसर_3	progressive_1	adj	_progressive_a_1	LBL: h* ARG0: e* ARG1: x* 
अग्रसर_4	beginning_2	adj	_begin_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
Oops!<class 'IndexError'>occurred.leader_5,SOME PROBLEM IN FATCHING MRS VALUES #############

अग्रसर˚ता_1	f_7	noun	named	,CARG:_VALUES
अग्रसारण_1	forwarding_1	noun	_forward_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: p* 
अग्रसारण_1	forwarding_1	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
Oops!<class 'IndexError'>occurred.adj_3,SOME PROBLEM IN FATCHING MRS VALUES #############

अग्रहार_1	brahmans_1	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अग्रहार_1	brahmans_1	verb	_brahmans/NNS_u_unknown	LBL: h* ARG0: x* 
अग्रांश_1	front_5	noun	_front_n_1	LBL: h* ARG0: x* 
